age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
65-74,Male,OTH,Food_price,USD,234978.406837338,263768.567390293,256781.413883153
65-74,Male,OTH,FL,mrh-eq,17833.9388185248,19183.5914846669,18628.3201477304
75+,Female,NHW,CED,MJ,6314577.27053711,6161911.2701888,6245325.66457762
75+,Female,NHW,Food_price,USD,4196957.37715434,4150061.90220477,4156204.77249345
75+,Female,NHW,FL,mrh-eq,233948.477128635,228883.190489485,231634.294004604
75+,Female,NHB,CED,MJ,762285.947782942,750631.134978936,774592.725641134
75+,Female,NHB,Food_price,USD,495359.162564962,513101.071683584,520862.574563535
75+,Female,NHB,FL,mrh-eq,27706.8941426763,27862.6731413112,28473.6422462068
75+,Female,HIS,CED,MJ,447297.104274386,430442.361180694,467995.201093193
75+,Female,HIS,Food_price,USD,264478.334946591,244233.015327803,264733.750307616
75+,Female,HIS,FL,mrh-eq,16601.2657647318,15687.5754582149,17285.2179264909
75+,Female,OTH,CED,MJ,343605.581973829,367840.293844508,386221.823001561
75+,Female,OTH,Food_price,USD,204411.388489605,207905.066251719,221485.986240418
75+,Female,OTH,FL,mrh-eq,12479.7131245564,13177.8244760399,13906.0222506921
75+,Male,NHW,CED,MJ,4878120.20169704,4685083.56834942,4729308.94378111
75+,Male,NHW,Food_price,USD,2816372.730558,2665384.88491278,2782862.99230697
75+,Male,NHW,FL,mrh-eq,170883.668462593,163803.287602193,166597.971560287
75+,Male,NHB,CED,MJ,435681.175532984,408857.480855922,424381.860641963
75+,Male,NHB,Food_price,USD,262117.868120105,246480.212833752,254774.819132344
75+,Male,NHB,FL,mrh-eq,14762.0746767371,13974.1764830469,14381.8242222273
75+,Male,HIS,CED,MJ,329112.036814765,350807.155642577,339272.425738815
75+,Male,HIS,Food_price,USD,165586.13484223,162733.854858157,168005.199732871
75+,Male,HIS,FL,mrh-eq,11329.6978754416,11914.7631644175,11703.3685258182
75+,Male,OTH,CED,MJ,356278.601514539,369553.416077136,351305.434625399
75+,Male,OTH,Food_price,USD,124471.760655038,128769.683035266,124131.579826813
75+,Male,OTH,FL,mrh-eq,13255.3198398953,13606.0846837221,13134.2974721194
