"outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"OSTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","direct","leg_tot",3486.8166154351,269.876970068375,3341.20254660013,3322.03055177855,3775.37463760137,0.0494639094388106,0.00378818182019257,0.0475551198517161,0.0470370921730557,0.0535131978535958,4.75551198517161,4.70370921730557,5.35131978535958,1.42389917348703,0.110208719587506,1.3644352626681,1.35660606182636,1.54173660934378
"OSTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","medBMI","leg_tot",866.910540573481,27.813738733651,863.469730152098,842.101911975873,894.643858029264,0.0122965029389033,0.000288767107117772,0.0122367121987972,0.0120520316558634,0.0125917963510333,1.22367121987972,1.20520316558634,1.25917963510333,0.354017242187467,0.0113581997456117,0.352612130403427,0.343886228815812,0.365342600575555
"OSTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","medBMI","leg_tot",548.085731853747,95.9467171689344,513.07024963887,476.490123419494,649.444500170645,0.0135972382901536,0.00247105189472559,0.0126798804239828,0.0117642496914606,0.0162099810750917,1.26798804239828,1.17642496914606,1.62099810750917,0.223819863979052,0.0391814271708096,0.209520713296936,0.194582614384808,0.265211391653095
"OTH","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","medBMI","leg_tot",272.225140415637,23.9521987748004,260.023714857284,256.990126978876,297.831365577,0.00510378994900508,0.000465472876595459,0.00485412554213356,0.00481829934564564,0.0056014952982053,0.485412554213356,0.481829934564564,0.56014952982053,0.11116763374487,0.00978127610372747,0.106184980028298,0.104946164297742,0.121624358851085
"PC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVD","medBMI","leg_tot",101.169722423362,2.14687777201243,101.25780619046,99.094040822064,103.170532822626,0.0134120909612408,0.000324384614388498,0.0134223100530166,0.0130996971732453,0.0137157985212268,1.34223100530166,1.30996971732453,1.37157985212268,0.041314327660034,0.000876713008540229,0.0413502981216332,0.0404666887840959,0.0421313916436129
"PVD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHD","medBMI","leg_tot",48.1033777738058,0.927992652617649,47.9517422696929,47.2951014611847,49.0405442649228,0.0134664243114772,4.68714879571314e-05,0.0134460484250364,0.0134338322472002,0.0135163358792287,1.34460484250364,1.34338322472002,1.35163358792287,0.0196438090695255,0.000378961131828672,0.0195818862061258,0.0193137360830669,0.020026516489874
"RHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCC","medBMI","leg_tot",97.5866853386442,13.5128364840329,100.532219417271,83.7284507066198,108.941216003835,0.0122021621054151,0.00177731055623556,0.0125866976813201,0.0103801933417357,0.0136972756295752,1.25866976813201,1.03801933417357,1.36972756295752,0.0398511352681778,0.00551819003497517,0.0410539927747839,0.0341918961928625,0.0444879454628778
"SCC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","medBMI","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","medBMI","leg_tot",158.297112347438,17.9751237670197,153.167943494256,143.930261706905,177.023756513177,0.00329552066646491,0.000350251729744907,0.00320857612574193,0.00300751271375702,0.00365743147878734,0.320857612574193,0.300751271375702,0.365743147878734,0.0646432411842727,0.00734043877211264,0.0625486603398453,0.0587763003586179,0.0722905757276907
"TC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC","medBMI","leg_tot",1441.35726614642,79.7497790989687,1472.29743326447,1356.84975042444,1499.56563981808,0.0246432091692536,0.00130855375470149,0.0251172706648923,0.0232613748727322,0.025622091194482,2.51172706648923,2.32613748727322,2.5622091194482,0.588602053483479,0.032567139906962,0.60123698191416,0.554092013220015,0.612372404580864
"UC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
