"age","female","outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
35,1,"BC","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
35,1,"BC","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
35,1,"CC","dairy_tot",250.302000550125,20.7033901452545,259.554116522862,228.234325731988,264.505376791435,0.0758591774420637,0.00790454145623791,0.0773131179160777,0.0678278238843123,0.0826546815969032,7.73131179160777,6.78278238843123,8.26546815969032,1.18952012418683,0.0983895420833433,1.23348932186281,1.08464703794504,1.25701939240404
35,1,"CC","leg_tot",12.1085434597159,2.25916320150765,12.0967226693237,9.96738428866631,14.2597503025989,0.0036543372273788,0.000599421526115337,0.00359446602768416,0.00311246642422588,0.00424709855027219,0.359446602768416,0.311246642422588,0.424709855027219,0.057543911308206,0.0107363108808935,0.0574877348972127,0.047368395661296,0.0677671769044602
35,1,"CM","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"CM","leg_tot",7.77561048327255,0.971126543287716,8.05844811438241,6.76266278647339,8.54814619362834,0.0251769353604471,0.00447160086068793,0.0258072252782585,0.0206928100344623,0.0291253142562923,2.58072252782585,2.06928100344623,2.91253142562923,0.0369523420802167,0.00461512318652603,0.038296482571875,0.0321384705672321,0.0406236941752918
35,1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"DIAB","leg_tot",43.4142254961283,13.5823767427371,44.8207597215665,29.9651848280989,55.6677120725353,0.0585557828065087,0.0181646312069924,0.0601016193570892,0.0406893321742797,0.0751082723707443,6.01016193570892,4.06893321742797,7.51082723707443,0.20631914563259,0.0645480676713068,0.213003474015259,0.142404736277222,0.264551875862688
35,1,"ECA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"ECA","leg_tot",0.159793300264144,0.0415173217103947,0.177162406273245,0.11564969988576,0.189173160534792,0.0257255303919292,0.00875787789666756,0.0272305653234349,0.0168585626794812,0.0333132184125975,2.72305653234349,1.68585626794812,3.33132184125975,0.000759392038244473,0.000197304414540481,0.00084193592958993,0.000549606655431947,0.00089901511341336
35,1,"ENDO","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"ENDO","leg_tot",1.66051049643219,0.356350419761192,1.7333797100984,1.29635889338304,1.96272326786506,0.024347258958231,0.0062312518062522,0.0267811089764299,0.0177421307279451,0.0288836146730477,2.67811089764299,1.77421307279451,2.88836146730477,0.0078913098880087,0.00169349823268183,0.00823760914210624,0.00616073778259274,0.00932752762744176
35,1,"GC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"GC","leg_tot",1.02689433372764,0.477593423775933,1.17576355589818,0.526755099751984,1.40049472885833,0.0100433984584202,0.00236212038828854,0.0110141032342709,0.00753375498791585,0.0117279428694514,1.10141032342709,0.753375498791585,1.17279428694514,0.00488015066878315,0.00226968616915627,0.00558762777745467,0.00250331915164836,0.00665562664354715
35,1,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"HHD","leg_tot",21.2889566498894,11.9195082178683,16.3670021090881,12.8060690108556,33.9555056486044,0.0425499440262482,0.0244078422129973,0.0324582265537187,0.0251889118729119,0.0684889360312347,3.24582265537187,2.51889118729119,6.84889360312347,0.101172353006876,0.0566455516312397,0.0777815532380046,0.0608587896487369,0.161368096168557
35,1,"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
