"female","race","outcome","riskfactor","V1","V2","V3"
1,3,"IHD","leg_tot",263.121813513161,247.714289377982,191.60736400463
1,4,"IHD","leg_tot",104.61000732714,100.937945673089,162.925709157925
0,1,"ISTK","leg_tot",853.531246282312,642.168263729534,745.924964807092
0,2,"ISTK","leg_tot",168.014649411944,149.396025368591,161.118893556533
0,3,"ISTK","leg_tot",67.5469918439965,72.4155330057159,100.105193189453
0,4,"ISTK","leg_tot",28.2631455529338,39.0567925971558,30.9644864702493
1,1,"ISTK","leg_tot",981.838832921374,1273.40934208562,999.689946718291
1,2,"ISTK","leg_tot",153.29505252595,188.676019430149,242.042515716257
1,3,"ISTK","leg_tot",99.2209805309417,151.128364758592,90.8745553326657
1,4,"ISTK","leg_tot",43.3719084260287,42.6896420671001,60.337284097078
0,1,"KC","leg_tot",445.894600210588,476.222151578537,518.129763891666
0,2,"KC","leg_tot",51.8395639622937,63.1725129424414,61.7398676999661
0,3,"KC","leg_tot",52.4355385404783,34.9827287514848,36.4872857892133
0,4,"KC","leg_tot",21.3215953413445,23.5213922037405,28.0509218465248
1,1,"KC","leg_tot",235.784186345338,230.002299471541,188.419394426358
1,2,"KC","leg_tot",22.6317423069036,40.9864947307381,34.6180861281124
1,3,"KC","leg_tot",40.0516778542266,33.7052314608466,36.2200946860316
1,4,"KC","leg_tot",15.7967429039361,13.3806197117974,13.2298933481345
0,1,"LC","leg_tot",0,0,0
0,2,"LC","leg_tot",0,0,0
0,3,"LC","leg_tot",0,0,0
0,4,"LC","leg_tot",0,0,0
1,1,"LC","leg_tot",0,0,0
1,2,"LC","leg_tot",0,0,0
1,3,"LC","leg_tot",0,0,0
1,4,"LC","leg_tot",0,0,0
0,1,"LVC","leg_tot",242.426220627425,225.381825088903,226.287129348581
0,2,"LVC","leg_tot",41.0197974700795,36.0202211613267,30.0691350280959
0,3,"LVC","leg_tot",34.4750248430754,39.3448687984716,40.7019835966755
0,4,"LVC","leg_tot",22.8920433166025,36.7742859105349,33.2071968859793
1,1,"LVC","leg_tot",87.3780255552045,51.4822266451168,89.077456514999
1,2,"LVC","leg_tot",12.7950685047761,14.1539460051653,21.1751560958244
1,3,"LVC","leg_tot",22.9698094888768,26.4334532686462,18.704750346175
1,4,"LVC","leg_tot",14.194311794323,9.31398113296319,17.4069859143203
0,1,"MLPC","leg_tot",1233.74447755312,1515.47776319612,1202.47470290949
0,2,"MLPC","leg_tot",121.15846474739,173.577108260125,129.500756089001
0,3,"MLPC","leg_tot",69.8166255749758,84.5695684576042,85.5379459968198
0,4,"MLPC","leg_tot",102.15644924695,89.490444085257,102.989841622563
1,1,"MLPC","leg_tot",655.627715183349,473.417777369299,712.981594875403
1,2,"MLPC","leg_tot",54.2394638236917,60.5833500040818,63.3975648400995
1,3,"MLPC","leg_tot",29.4569656905461,37.6221233028457,38.28177732541
1,4,"MLPC","leg_tot",43.7520088819676,39.5523199406452,40.0650582074856
0,1,"MMC","leg_tot",44.5722474229566,40.235258144486,39.1660632484787
0,2,"MMC","leg_tot",14.3733903747616,14.4455458954427,8.15611786230634
0,3,"MMC","leg_tot",4.39816491167352,3.34514799360234,3.78611241942105
