age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
45-54,Female,NHW,oil,Food_price,USD,-0.00186532902986934,-0.000185048587806414,-0.00264790769055873
45-54,Female,NHW,oil,FL,mrh-eq,-0.0003128645229716,-3.10374937737807e-05,-0.000444123456620153
45-54,Female,NHW,sat_fat,CED,MJ,-0.281869431499061,-0.34640401699588,-0.31340887758816
45-54,Female,NHW,sat_fat,Food_price,USD,-0.0140089126505082,-0.017216281985855,-0.0155764233342947
45-54,Female,NHW,sat_fat,FL,mrh-eq,-0.00758149412226821,-0.0093172927792034,-0.00842981642480529
45-54,Female,OTH,added_sugar,CED,MJ,-0.0417084075980482,-0.0340164712469174,-0.050212033100715
45-54,Female,OTH,added_sugar,Food_price,USD,-0.102331268263063,-0.0834591595554941,-0.123194850275309
45-54,Female,OTH,added_sugar,FL,mrh-eq,-0.00209062663035747,-0.00170506966712684,-0.00251686937023359
45-54,Female,OTH,oil,CED,MJ,-0.00506622305091541,-0.0141053389396707,-0.0050857212498053
45-54,Female,OTH,oil,Food_price,USD,-0.000807077562947386,-0.00224705909344425,-0.000810183734681982
45-54,Female,OTH,oil,FL,mrh-eq,-0.000279454471776163,-0.000778054973694298,-0.000280529998616691
45-54,Female,OTH,sat_fat,CED,MJ,-0.126617321058841,-0.182012880525105,-0.160683182000121
45-54,Female,OTH,sat_fat,Food_price,USD,-0.00553812487412316,-0.00796107556705025,-0.00702813422086692
45-54,Female,OTH,sat_fat,FL,mrh-eq,-0.00321224795646725,-0.00461761865302603,-0.00407648984121756
45-54,Male,HIS,added_sugar,CED,MJ,-0.111521957529148,-0.121178388899109,-0.113917761795248
45-54,Male,HIS,added_sugar,Food_price,USD,-0.229074409951557,-0.248909439458939,-0.233995570418748
45-54,Male,HIS,added_sugar,FL,mrh-eq,-0.00501655843451396,-0.00545093076180766,-0.00512432817210493
45-54,Male,HIS,oil,CED,MJ,0.0207878108741147,0.0201937434732443,0.0175485892257773
45-54,Male,HIS,oil,Food_price,USD,0.00290525644618052,0.00282223095800882,0.00245255030836598
45-54,Male,HIS,oil,FL,mrh-eq,0.00101044883605832,0.000981572552865991,0.000852997540964378
45-54,Male,HIS,sat_fat,CED,MJ,-0.224606768517655,-0.247653571041213,-0.227082907217287
45-54,Male,HIS,sat_fat,Food_price,USD,-0.0099817059787498,-0.0110059244742952,-0.0100917475800134
45-54,Male,HIS,sat_fat,FL,mrh-eq,-0.00627358561204473,-0.00691731549458414,-0.00634274767791637
45-54,Male,NHB,added_sugar,CED,MJ,-0.133900128759213,-0.17230861805563,-0.166294079050453
45-54,Male,NHB,added_sugar,Food_price,USD,-0.293949373338672,-0.378267076870304,-0.365063430332578
45-54,Male,NHB,added_sugar,FL,mrh-eq,-0.00576422919436601,-0.00741766550817287,-0.0071587473006584
45-54,Male,NHB,oil,CED,MJ,0.00340932784971455,0.00663752041244595,-0.0177890698165215
45-54,Male,NHB,oil,Food_price,USD,0,0,0
45-54,Male,NHB,oil,FL,mrh-eq,0.000166343147876545,0.000323848596606373,-0.000867939371487424
45-54,Male,NHB,sat_fat,CED,MJ,-0.277700920674124,-0.334363351270776,-0.259783431493108
45-54,Male,NHB,sat_fat,Food_price,USD,-0.0199306330639511,-0.0239973034588206,-0.0186446924144665
45-54,Male,NHB,sat_fat,FL,mrh-eq,-0.00768921938521548,-0.00925813697720458,-0.00719310469891693
45-54,Male,NHW,added_sugar,CED,MJ,-0.111144361515137,-0.118512424474148,-0.112741512674577
45-54,Male,NHW,added_sugar,Food_price,USD,-0.343803009194067,-0.366594648668234,-0.348743479113261
45-54,Male,NHW,added_sugar,FL,mrh-eq,-0.00510108278202041,-0.00543924747687932,-0.00517438564838846
45-54,Male,NHW,oil,CED,MJ,-0.00799809537439129,0.00730876315502933,0.00214158596012929
45-54,Male,NHW,oil,Food_price,USD,-0.00272486079304419,0.00249001308868502,0.000729614157437368
45-54,Male,NHW,oil,FL,mrh-eq,-0.000425008102622316,0.000388377909443387,0.000113801016730988
45-54,Male,NHW,sat_fat,CED,MJ,-0.36234531257808,-0.364771851236093,-0.377062984939268
45-54,Male,NHW,sat_fat,Food_price,USD,-0.0157313533673145,-0.0158367024245909,-0.0163703264590619
45-54,Male,NHW,sat_fat,FL,mrh-eq,-0.00999413731920626,-0.0100610656323835,-0.0104000772706582
45-54,Male,OTH,added_sugar,CED,MJ,-0.0743742491413559,-0.0722119161122426,-0.0652215015295614
45-54,Male,OTH,added_sugar,Food_price,USD,-0.0858993399940707,-0.0834019301755837,-0.0753282755724162
45-54,Male,OTH,added_sugar,FL,mrh-eq,-0.00358858510531499,-0.0034842517346848,-0.00314696163843512
45-54,Male,OTH,oil,CED,MJ,-0.0016704095871891,0.00533184247281353,0.000589748482539121
45-54,Male,OTH,oil,Food_price,USD,0,0,0
45-54,Male,OTH,oil,FL,mrh-eq,-8.54742653355144e-05,0.000272828485746016,3.01772204041232e-05
45-54,Male,OTH,sat_fat,CED,MJ,-0.301512970271932,-0.260264247203261,-0.282082112523074
45-54,Male,OTH,sat_fat,Food_price,USD,-0.0158964576373169,-0.0137217300351737,-0.0148720181023182
45-54,Male,OTH,sat_fat,FL,mrh-eq,-0.00832197581604803,-0.00718348125805023,-0.00778567010380877
55-64,Female,HIS,added_sugar,CED,MJ,-0.118008991043917,-0.104956264312288,-0.118583066696216
55-64,Female,HIS,added_sugar,Food_price,USD,-0.260811539287894,-0.231963722518462,-0.262080303245785
55-64,Female,HIS,added_sugar,FL,mrh-eq,-0.00564857829432776,-0.00502380090875861,-0.00567605680456828
55-64,Female,HIS,oil,CED,MJ,2.11823048964066e-05,-0.00430469011787788,0.00155199030174769
55-64,Female,HIS,oil,Food_price,USD,6.76006023552461e-06,-0.00137378649936526,0.000495297748572404
55-64,Female,HIS,oil,FL,mrh-eq,1.13745757880088e-06,-0.000231155316804079,8.33395203960003e-05
55-64,Female,HIS,sat_fat,CED,MJ,-0.238628012681877,-0.238516829826352,-0.198215115980597
55-64,Female,HIS,sat_fat,Food_price,USD,-0.0102327285543847,-0.0102279608660999,-0.00849976268255357
55-64,Female,HIS,sat_fat,FL,mrh-eq,-0.00639104221900636,-0.00638806447001662,-0.0053086859352345
55-64,Female,NHB,added_sugar,CED,MJ,-0.17332291708761,-0.17562912104824,-0.155910571832278
55-64,Female,NHB,added_sugar,Food_price,USD,-0.443020055792119,-0.448914801994607,-0.398513430262676
55-64,Female,NHB,added_sugar,FL,mrh-eq,-0.00782150566707476,-0.00792557723274301,-0.00703574254134336
55-64,Female,NHB,oil,CED,MJ,-0.0224425432476372,-0.0247004211394381,-0.0228600740662074
55-64,Female,NHB,oil,Food_price,USD,-0.00337129367743088,-0.00371046956213552,-0.00343401468873724
55-64,Female,NHB,oil,FL,mrh-eq,-0.00111519207683909,-0.00122738825298645,-0.00113593959442513
55-64,Female,NHB,sat_fat,CED,MJ,-0.243634982552509,-0.272292747325225,-0.228023711783837
55-64,Female,NHB,sat_fat,Food_price,USD,-0.0134355004313482,-0.0150158621960317,-0.0125746009293599
55-64,Female,NHB,sat_fat,FL,mrh-eq,-0.00658463202803125,-0.00735915477430208,-0.006162712021205
55-64,Female,NHW,added_sugar,CED,MJ,-0.0859362558727224,-0.110878885702329,-0.0961186404294586
55-64,Female,NHW,added_sugar,Food_price,USD,-0.230799391110138,-0.297787924865728,-0.258146267371825
55-64,Female,NHW,added_sugar,FL,mrh-eq,-0.00414288947238371,-0.00534534537979127,-0.00463377068841369
55-64,Female,NHW,oil,CED,MJ,-0.00653250820285949,-0.00968234761049002,-0.0113133970453552
55-64,Female,NHW,oil,Food_price,USD,-0.00226407020784407,-0.00335575770992601,-0.00392105519112668
55-64,Female,NHW,oil,FL,mrh-eq,-0.000338983517822142,-0.000502434310353258,-0.000587072378611695
55-64,Female,NHW,sat_fat,CED,MJ,-0.294574569680942,-0.321732921353715,-0.298872411386416
55-64,Female,NHW,sat_fat,Food_price,USD,-0.0132675683068131,-0.0144907739837635,-0.0134611420713815
55-64,Female,NHW,sat_fat,FL,mrh-eq,-0.00790721521684896,-0.00863622224499832,-0.00802258145287517
55-64,Female,OTH,added_sugar,CED,MJ,-0.0805600479281731,-0.0652651723523247,-0.0398619230317095
55-64,Female,OTH,added_sugar,Food_price,USD,-0.286735134449826,-0.232296509878197,-0.141879432223235
55-64,Female,OTH,added_sugar,FL,mrh-eq,-0.00384263227034842,-0.00311308227664534,-0.00190137314635614
55-64,Female,OTH,oil,CED,MJ,-0.0117893175505795,-0.00925964668295783,-0.018576434884416
55-64,Female,OTH,oil,Food_price,USD,-0.00165366868420715,-0.00129883580459475,-0.00260568675843853
55-64,Female,OTH,oil,FL,mrh-eq,-0.000625103366297996,-0.000490972975103422,-0.000984975757099117
55-64,Female,OTH,sat_fat,CED,MJ,-0.238595017461474,-0.239327403773644,-0.203931497910197
55-64,Female,OTH,sat_fat,Food_price,USD,-0.0120864023369524,-0.0121235025066423,-0.0103304677488415
55-64,Female,OTH,sat_fat,FL,mrh-eq,-0.00620182619528175,-0.00622086319221576,-0.00530081356785554
55-64,Male,HIS,added_sugar,CED,MJ,-0.0670211387234149,-0.108682737525204,-0.104499290377093
55-64,Male,HIS,added_sugar,Food_price,USD,-0.106278222844428,-0.172342762567995,-0.165708895451835
55-64,Male,HIS,added_sugar,FL,mrh-eq,-0.00318955006925755,-0.00517223430701736,-0.00497314317852939
55-64,Male,HIS,oil,CED,MJ,0.00799125846177802,0.0109982334638676,0.00951771367091274
55-64,Male,HIS,oil,Food_price,USD,0.00279123526099437,0.00384152974150771,0.00332440480174244
55-64,Male,HIS,oil,FL,mrh-eq,0.000389993298928646,0.000536741161792784,0.000464488111669919
55-64,Male,HIS,sat_fat,CED,MJ,-0.208328801304809,-0.230820354641509,-0.2110586527415
55-64,Male,HIS,sat_fat,Food_price,USD,-0.00779243672692462,-0.00863372225810785,-0.00789454548222435
