"outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"MLPC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMC","medBMI",35.5306854571799,2.7805930976329,35.233368160564,33.0268317591943,38.2872588572888,0.0013872795848656,0.000120279252757435,0.00138839560717076,0.00127254367433648,0.00150106687643534,0.138839560717076,0.127254367433648,0.150106687643534,0.0145095424382085,0.00113550113189109,0.014388128007911,0.0134870524124033,0.0156352347297664
"MMC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OC","medBMI",18.6233499415956,0.725111001663704,19.020042198902,17.8481211057625,19.0613903587183,0.000920545057465201,4.28036637122694e-05,0.00093725527509502,0.000875174246959493,0.000951712182985562,0.093725527509502,0.0875174246959493,0.0951712182985562,0.00760515264038017,0.000296111057686486,0.0077671484777313,0.00728857513707253,0.00778403368193935
"OC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","direct",1208.62758765267,108.304337135847,1165.05068098284,1130.70700639981,1323.58853957489,0.0171472440074065,0.00154923504200006,0.0166828563973905,0.0159232908455495,0.0187659266377769,1.66828563973905,1.59232908455495,1.87659266377769,0.493563044151523,0.0442278654547336,0.47576769434287,0.461742887406705,0.540509248233696
"OSTK","medBMI",290.24774389034,3.89948589818031,290.525360740571,286.432292908013,293.827220549971,0.00411750930020766,4.27316585697931e-05,0.00409846111422851,0.00408815658415105,0.00416305297434654,0.409846111422851,0.408815658415105,0.416305297434654,0.118527461640066,0.00159241949314574,0.118640831067595,0.11696935919322,0.119989200073514
"OSTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","medBMI",188.145466397621,37.7245206842928,169.339907040856,163.811258720062,228.46439952843,0.00466814692460361,0.000967832383887651,0.00418502100598844,0.00404439071342227,0.00570256016660784,0.418502100598844,0.404439071342227,0.570256016660784,0.0768323097099483,0.0154054312993618,0.0691527488444516,0.0668950339592952,0.0932972121962737
"OTH","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","medBMI",89.4661368721042,9.07177004311583,85.7250931671417,83.006241238301,99.1059196551257,0.0016774477684138,0.000176170274713518,0.00160762672319649,0.0015499269033549,0.00186431652190743,0.160762672319649,0.15499269033549,0.186431652190743,0.0365349751355851,0.00370460717930391,0.0350072581297941,0.0338969700242561,0.0404715397018366
"PC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVD","medBMI",34.1940102426377,0.274170345830813,34.2082113728856,33.9277751133142,34.4481744112504,0.00453341493975341,9.13399593136978e-05,0.00448245797463111,0.00447909820144816,0.00463104509841261,0.448245797463111,0.447909820144816,0.463104509841261,0.0139636890300361,0.000111961990514501,0.0139694882962014,0.0138549675162866,0.014067481167545
"PVD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHD","medBMI",16.1846800195114,0.749321726074364,16.5003459937686,15.3877314874948,16.7133124734093,0.00452970270165091,0.000146099031377498,0.00460541791164561,0.0043734938526518,0.00462155362215453,0.460541791164561,0.43734938526518,0.462155362215453,0.00660928148641926,0.000305997907004931,0.0067381889023852,0.00628383438632607,0.00682515728294141
"RHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCC","medBMI",32.6427423868514,4.66243975596485,35.2197154251948,27.6585866843971,35.4364710067139,0.00408160728352978,0.000610262109883923,0.0044095307260559,0.00342909074081284,0.00445538890009952,0.44095307260559,0.342909074081284,0.445538890009952,0.0133302031713497,0.00190398430636221,0.0143825526878549,0.0112948408429039,0.014471068410766
"SCC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","medBMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","medBMI",51.6599312064089,6.68985634202892,49.5010454114137,46.4753371574823,58.6795781810814,0.00107539715254637,0.000131245666346975,0.00103695243849954,0.000971131315999809,0.00121234099603272,0.103695243849954,0.0971131315999809,0.121234099603272,0.0210961864244826,0.00273191336590361,0.0202145697413629,0.0189789717856476,0.0239627752439694
"TC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC","medBMI",474.101189506533,43.9811757208354,497.302053419971,427.07367337924,501.407971307403,0.00810523004908044,0.000732366133141837,0.00849775133941786,0.00732214808415972,0.00855466891721436,0.849775133941786,0.732214808415972,0.855466891721436,0.193607053751902,0.0179604397548939,0.203081509851569,0.174402590560928,0.204758229258159
"UC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
