"female","race","outcome","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,2,"LVC",10.8664398239666,2.18130618715222,10.0413190550898,9.25922204765544,13.1750102538231,0.00356496570335911,0.000632211448258023,0.00333142219908302,0.00309518486514483,0.00423325852020807,0.333142219908302,0.309518486514483,0.423325852020807,0.0855308584119109,0.0171692839300367,0.0790362485121833,0.0728802830358262,0.103701852202764
0,2,"MLPC",44.1064348576464,6.70850055582215,40.3209388622861,40.1550110825729,51.2755302287761,0.0126321068166847,0.00171899076625422,0.0118050007814415,0.0114991166961869,0.0144681370671391,1.18050007814415,1.14991166961869,1.44681370671391,0.347166256471887,0.0528032934881518,0.317370230612166,0.316064196100112,0.403594938824425
0,2,"MMC",3.72798009550929,1.13910876164471,4.12438581842206,2.52766786354056,4.59134746300216,0.00141999770605649,0.000444154320961656,0.0015529256641088,0.000955975824109444,0.00177103082365907,0.15529256641088,0.0955975824109444,0.177103082365907,0.0293433123338305,0.00896604148058828,0.0324634622918088,0.019895532083286,0.0361389651200934
0,2,"OC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,2,"OSTK",92.3037793354176,2.62196830983462,92.2888271311213,89.8192945045961,94.8009735398909,0.0218477045691633,0.000465058315803308,0.0218784236748458,0.0213935670188992,0.0222757308795972,2.18784236748458,2.13935670188992,2.22757308795972,0.726532480657495,0.0206377805336357,0.726414790329354,0.706976846638076,0.746188151455834
0,2,"OTH",9.29989736327221,1.12717953953028,9.68185708067881,8.11389207482378,10.161236891925,0.00525931564637748,0.000655944331779693,0.00559722809185458,0.00455800806902864,0.00567339764507079,0.559722809185458,0.455800806902864,0.567339764507079,0.0732004426020904,0.00887214535415099,0.0762068865743382,0.0638652737661735,0.0799801340615967
0,2,"PC",3.67721724430211,0.76260167252351,3.35864072511573,3.13721433524548,4.48801019466715,0.00126108081201851,0.000248806110152078,0.00116909616565874,0.00107625100596483,0.00152409756747799,0.116909616565874,0.107625100596483,0.152409756747799,0.0289437527439812,0.00600251570283716,0.0264362044027304,0.0246933346581354,0.0353255869198901
0,2,"PVD",1.90827161235289,0.375354207465043,2.03795068408019,1.51290640575885,2.19340960797872,0.00350949090896299,0.00087464473262798,0.00362606115699903,0.00263458937295125,0.00428530773414411,0.362606115699903,0.263458937295125,0.428530773414411,0.0150202008874738,0.00295445132841019,0.0160409181143279,0.0119082409397817,0.0172645511923399
0,2,"RHD",0.656134012544764,0.166908618084452,0.628011550590931,0.51121999416596,0.824952123584325,0.00613232640774828,0.000759520809920036,0.0065081561503547,0.00532066348095172,0.00662453405332939,0.65081561503547,0.532066348095172,0.662453405332939,0.00516449787007789,0.00131375479111592,0.00494314309790472,0.00402386482110803,0.00649328247539494
0,2,"SCC",0.991919014140857,0.37660738138617,0.835085231915205,0.724873794595074,1.39227294857844,0.00292440327771972,0.00120928395215616,0.00247123638822744,0.00203036052480217,0.00420363788670571,0.247123638822744,0.203036052480217,0.420363788670571,0.00780749593509408,0.0029643151884186,0.00657304120667779,0.00570555571984791,0.0109587226694941
0,2,"SCNC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"TC",0.695351979515767,0.235200626895127,0.586027918052548,0.537276546171296,0.946352865103973,0.00104096769519135,0.000297307870792187,0.000891140044206264,0.000850520376822567,0.00135876851689745,0.0891140044206264,0.0850520376822567,0.135876851689745,0.00547318649620929,0.00185128817195404,0.00461268563543958,0.00422895860493919,0.00744884011913364
0,2,"UC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,3,"AA",0.417955678017252,0.151361406956172,0.384294645390909,0.291160305048379,0.573362928718517,0.00110835502241245,0.000483876693021345,0.00103552472095113,0.000683546982772834,0.0015950688182942,0.103552472095113,0.0683546982772834,0.15950688182942,0.00218599049922832,0.000791649964239429,0.00200993667011306,0.00152282573024861,0.002998801022956
0,3,"AFF",0.205067977183404,0.13452537191307,0.22881670510212,0.0686780857461162,0.321271449889784,0.000499417072751225,0.000344918622360162,0.000533341999194371,0.000158517162185181,0.000811480795840595,0.0533341999194371,0.0158517162185181,0.0811480795840595,0.00107254590234419,0.000703594185637526,0.00119675642592255,0.000359199912436651,0.00168031294721013
0,3,"APCA",1.08524698449787,0.513130381511766,1.02960660358086,0.623574394323389,1.59421389845181,0.000287545251916387,0.000139253646815584,0.000271247929972655,0.000162861889738531,0.000426081337746416,0.0271247929972655,0.0162861889738531,0.0426081337746416,0.00567605543411377,0.00268377294016287,0.00538504528529838,0.00326141687563512,0.00833805261908551
0,3,"BC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,3,"CC",580.132588443521,26.2378244969626,593.496424922156,552.082942191626,596.822973688577,0.0785145184507871,0.00426219372973083,0.0806846915011708,0.0739580187223227,0.0812263710864253,8.06846915011708,7.39580187223227,8.12263710864253,3.03420767638889,0.137228988831713,3.10410317275856,2.88750250299769,3.12150167786588
0,3,"CM",1.10985148905065,0.567963063299508,0.857058700244199,0.719417817724144,1.71515903086265,0.00124810424101549,0.000658224366133513,0.000987518828644877,0.000771440494287725,0.00194626558825827,0.0987518828644877,0.0771440494287725,0.194626558825827,0.00580474183800653,0.00297055866348128,0.00448258577297629,0.00376269685336261,0.00897061947792616
0,3,"DIAB",10.0151558970612,5.83097646835023,11.820946131912,3.91121197455035,14.584178119949,0.00240729622854663,0.0013817487074982,0.00283626057816247,0.000960657480159853,0.00348931527975995,0.283626057816247,0.0960657480159853,0.348931527975995,0.0523812375109369,0.0304971551565125,0.0618258760326801,0.0204564088168272,0.0762781234615648
0,3,"ECA",0.83964997024223,0.531621810314132,1.0511796697711,0.275640701410465,1.22385899447445,0.00170334848059297,0.00107172384734421,0.00224984926864546,0.00055760510893632,0.00238456618240501,0.224984926864546,0.055760510893632,0.238456618240501,0.00439153468696528,0.00278048675410335,0.00549787666960883,0.00144165514712552,0.00640102354155804
