"female","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"SCNC","medBMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"SCNC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"TC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"TC","medBMI",39.538355054552,0.841328392498719,39.3690706092594,38.823267054327,40.3973348332756,0.00313420695175342,8.89156738467471e-05,0.00314088792031665,0.00304707667586236,0.00321565840436574,0.314088792031665,0.304707667586236,0.321565840436574,0.0335448739722495,0.000713794361366473,0.0334012507644816,0.0329381836632187,0.034273644007883
0,"TC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"UC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"UC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,"UC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"AA","medBMI",55.5564186705462,4.33441030374718,55.265386316725,51.5693851003637,59.7908297414767,0.0134059664033139,0.000779495202260217,0.0133459201476092,0.012692615290696,0.0141703568332806,1.33459201476092,1.2692615290696,1.41703568332806,0.0437414225800379,0.00341262589037243,0.0435122830948518,0.0406022979854821,0.047075315737002
1,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"AFF","medBMI",181.241387926209,25.1452222892131,168.999382285615,164.78336164554,208.105119001382,0.0117515386620395,0.00161606976904566,0.010941475445225,0.0107127480895738,0.0134788829687974,1.0941475445225,1.07127480895738,1.34788829687974,0.142697393532241,0.0197976727143605,0.133058853922122,0.129739440165139,0.163848105567944
1,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"APCA","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1,"APCA","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1,"APCA","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1,"BC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"BC","medBMI",1370.0192000434,96.755769813599,1368.11644593272,1278.92322058909,1462.73252049178,0.00628382795972629,0.000452013164919135,0.00630055363391704,0.00584752757909521,0.00670591151729523,0.630055363391704,0.584752757909521,0.670591151729523,1.07866183972788,0.0761790467375335,1.07716373791332,1.00693893483218,1.15165813116596
1,"BC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"CC","direct",5245.90005605066,235.993854314397,5272.66346867435,5011.4153416968,5457.63586967439,0.0771580459932813,0.00301963904435235,0.0776713935913767,0.0741024766552529,0.0797772698729285,7.76713935913767,7.4102476655253,7.97772698729285,4.13027219276121,0.185805837648974,4.15134392073199,3.94565455136977,4.29697886537749
1,"CC","medBMI",155.035725480611,24.2738121173154,160.614171511977,130.066091916254,175.263679918306,0.00227935356321309,0.000344426637507416,0.0023660009037133,0.00192318302566882,0.00256187386133218,0.23660009037133,0.192318302566882,0.256187386133218,0.122064800891232,0.0191115824032561,0.126456897628873,0.102405375040115,0.137990944515354
1,"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"CM","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
