"","age","female","race","outcome","pathway","V1","V2","V3"
"334",55,1,4,"DIAB","direct",0,0,0
"335",65,1,4,"DIAB","direct",0,0,0
"336",75,1,4,"DIAB","direct",0,0,0
"337",25,0,1,"ECA","direct",0,0,0
"338",35,0,1,"ECA","direct",0,0,0
"339",45,0,1,"ECA","direct",0,0,0
"340",55,0,1,"ECA","direct",0,0,0
"341",65,0,1,"ECA","direct",0,0,0
"342",75,0,1,"ECA","direct",0,0,0
"343",25,1,1,"ECA","direct",0,0,0
"344",35,1,1,"ECA","direct",0,0,0
"345",45,1,1,"ECA","direct",0,0,0
"346",55,1,1,"ECA","direct",0,0,0
"347",65,1,1,"ECA","direct",0,0,0
"348",75,1,1,"ECA","direct",0,0,0
"349",25,0,2,"ECA","direct",0,0,0
"350",35,0,2,"ECA","direct",0,0,0
"351",45,0,2,"ECA","direct",0,0,0
"352",55,0,2,"ECA","direct",0,0,0
"353",65,0,2,"ECA","direct",0,0,0
"354",75,0,2,"ECA","direct",0,0,0
"355",25,1,2,"ECA","direct",0,0,0
"356",35,1,2,"ECA","direct",0,0,0
"357",45,1,2,"ECA","direct",0,0,0
"358",55,1,2,"ECA","direct",0,0,0
"359",65,1,2,"ECA","direct",0,0,0
"360",75,1,2,"ECA","direct",0,0,0
"361",25,0,3,"ECA","direct",0,0,0
"362",35,0,3,"ECA","direct",0,0,0
"363",45,0,3,"ECA","direct",0,0,0
"364",55,0,3,"ECA","direct",0,0,0
"365",65,0,3,"ECA","direct",0,0,0
"366",75,0,3,"ECA","direct",0,0,0
"367",25,1,3,"ECA","direct",0,0,0
"368",35,1,3,"ECA","direct",0,0,0
"369",45,1,3,"ECA","direct",0,0,0
"370",55,1,3,"ECA","direct",0,0,0
"371",65,1,3,"ECA","direct",0,0,0
"372",75,1,3,"ECA","direct",0,0,0
"373",25,0,4,"ECA","direct",0,0,0
"374",35,0,4,"ECA","direct",0,0,0
"375",45,0,4,"ECA","direct",0,0,0
"376",55,0,4,"ECA","direct",0,0,0
"377",65,0,4,"ECA","direct",0,0,0
"378",75,0,4,"ECA","direct",0,0,0
"379",25,1,4,"ECA","direct",0,0,0
"380",35,1,4,"ECA","direct",0,0,0
"381",45,1,4,"ECA","direct",0,0,0
"382",55,1,4,"ECA","direct",0,0,0
"383",65,1,4,"ECA","direct",0,0,0
"384",75,1,4,"ECA","direct",0,0,0
"385",25,0,1,"ENDO","direct",0,0,0
"386",35,0,1,"ENDO","direct",0,0,0
"387",45,0,1,"ENDO","direct",0,0,0
"388",55,0,1,"ENDO","direct",0,0,0
"389",65,0,1,"ENDO","direct",0,0,0
"390",75,0,1,"ENDO","direct",0,0,0
"391",25,1,1,"ENDO","direct",0,0,0
"392",35,1,1,"ENDO","direct",0,0,0
"393",45,1,1,"ENDO","direct",0,0,0
"394",55,1,1,"ENDO","direct",0,0,0
"395",65,1,1,"ENDO","direct",0,0,0
"396",75,1,1,"ENDO","direct",0,0,0
"397",25,0,2,"ENDO","direct",0,0,0
"398",35,0,2,"ENDO","direct",0,0,0
"399",45,0,2,"ENDO","direct",0,0,0
"400",55,0,2,"ENDO","direct",0,0,0
"401",65,0,2,"ENDO","direct",0,0,0
"402",75,0,2,"ENDO","direct",0,0,0
"403",25,1,2,"ENDO","direct",0,0,0
"404",35,1,2,"ENDO","direct",0,0,0
"405",45,1,2,"ENDO","direct",0,0,0
"406",55,1,2,"ENDO","direct",0,0,0
"407",65,1,2,"ENDO","direct",0,0,0
"408",75,1,2,"ENDO","direct",0,0,0
"409",25,0,3,"ENDO","direct",0,0,0
"410",35,0,3,"ENDO","direct",0,0,0
"411",45,0,3,"ENDO","direct",0,0,0
"412",55,0,3,"ENDO","direct",0,0,0
"413",65,0,3,"ENDO","direct",0,0,0
"414",75,0,3,"ENDO","direct",0,0,0
"415",25,1,3,"ENDO","direct",0,0,0
"416",35,1,3,"ENDO","direct",0,0,0
"417",45,1,3,"ENDO","direct",0,0,0
"418",55,1,3,"ENDO","direct",0,0,0
"419",65,1,3,"ENDO","direct",0,0,0
"420",75,1,3,"ENDO","direct",0,0,0
"421",25,0,4,"ENDO","direct",0,0,0
"422",35,0,4,"ENDO","direct",0,0,0
"423",45,0,4,"ENDO","direct",0,0,0
"424",55,0,4,"ENDO","direct",0,0,0
"425",65,0,4,"ENDO","direct",0,0,0
"426",75,0,4,"ENDO","direct",0,0,0
"427",25,1,4,"ENDO","direct",0,0,0
"428",35,1,4,"ENDO","direct",0,0,0
"429",45,1,4,"ENDO","direct",0,0,0
