"age","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
45,1,"OSTK","medBMI",20.5938091371626,2.96598769201871,19.9605506497446,18.0938413451435,23.6320466434871,0.0255829729796548,0.00263182430277076,0.0262632871201087,0.0228570610139468,0.0277306179259769,2.62632871201087,2.28570610139468,2.77306179259769,0.0873207854532189,0.0125762248832484,0.0846356761493516,0.0767205536188406,0.100203360195884
45,1,"OSTK","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"OTH","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"OTH","medBMI",23.41894866235,1.99217926515927,23.3182210862639,21.5710028098118,25.3525129545614,0.0219548934805171,0.00245800882959353,0.0226010650357335,0.0194064828996211,0.0239540582394793,2.26010650357335,1.94064828996211,2.39540582394793,0.0992997933536623,0.0084471336525794,0.0988726935878028,0.0914642306248877,0.107498390883418
45,1,"OTH","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"PC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"PC","medBMI",9.97897551218524,2.57100525574505,8.66130520819308,8.35029656718195,12.7276742155819,0.00470243670656337,0.00110228416834316,0.00415009443403063,0.00399375090532279,0.00588061343945678,0.415009443403063,0.399375090532279,0.588061343945678,0.0423123266773418,0.0109014411486841,0.0367252104160114,0.035406487947771,0.0539672142290435
45,1,"PC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"PVD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"PVD","medBMI",2.78556204028712,1.1474538424811,2.1797147088335,2.07359923276531,4.01249507954452,0.0240192019897167,0.00768685965837232,0.0210766319373807,0.018380245677193,0.0321593428467259,2.10766319373807,1.8380245677193,3.21593428467259,0.0118111935323129,0.00486537338136023,0.00924231156905339,0.0087923663133068,0.0170135704200897
45,1,"PVD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"RHD","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"RHD","medBMI",2.37737215655749,0.121867218612984,2.35180004118695,2.27439411476189,2.50208649641804,0.026322912599422,0.00356298883734977,0.0256734256351946,0.023256548815599,0.0299413403028383,2.56734256351946,2.3256548815599,2.99413403028383,0.0100804082742807,0.000516734965319342,0.0099719787367929,0.0096437662021835,0.0106092154532427
45,1,"RHD","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"SCC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"SCC","medBMI",5.8245217710785,0.773875858406708,5.56067221169276,5.23425414642347,6.63906152121141,0.0134563251609635,0.00279232724003949,0.0124290081846407,0.0113784737904994,0.016407395961302,1.24290081846407,1.13784737904994,1.6407395961302,0.0246968306131452,0.00328134767828911,0.023578069600377,0.0221940089025433,0.0281505991846002
45,1,"SCC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"SCNC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
