Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
sat_fat,Male,HIS,35-44,15,4477083,g/day,CED,MJ,-2470951.418848079,153787.85771778977,-2385085.682867393,-2635327.9485393716,-2379560.76474037
sat_fat,Male,HIS,35-44,15,4477083,g/day,Food_price,USD,-236677.2392977392,20823.04494901937,-228529.23083983638,-258751.5780678696,-221528.70771682617
sat_fat,Male,HIS,35-44,15,4477083,g/day,FL,mrh-eq,-68996.12903774767,4294.202951380499,-66598.5086901949,-73585.99841633892,-66444.23695457625
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,CED,MJ,-271057.4394294408,17527.932146806244,-264156.2836967755,-289644.0826054911,-258336.778626156
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,Food_price,USD,-437980.81346398604,26378.275343022422,-433501.309848212,-464671.4833229017,-415097.7216784782
added_sugar,Male,OTH,35-44,16,2268050,tsp eq/day,FL,mrh-eq,-14045.905906469343,908.278651887412,-13688.29541523566,-15009.045828832137,-13386.73490165518
oil,Male,OTH,35-44,16,2268050,g/day,CED,MJ,70079.29439642113,33110.52010049393,52771.7031471456,49387.61599028821,105482.42536443826
oil,Male,OTH,35-44,16,2268050,g/day,Food_price,USD,37288.01075131378,13911.074940661869,35905.62893628613,24709.031227920073,51042.014817480995
oil,Male,OTH,35-44,16,2268050,g/day,FL,mrh-eq,3860.7797191979776,1824.1111814420867,2907.277006893503,2720.842266422426,5811.194477432333
sat_fat,Male,OTH,35-44,16,2268050,g/day,CED,MJ,-982370.9813561516,86317.70280198225,-976537.514026667,-1066711.45642513,-902988.9535172353
sat_fat,Male,OTH,35-44,16,2268050,g/day,Food_price,USD,-135814.92560591488,18936.582042385096,-133244.2901176988,-154772.44800970706,-119042.44336710633
sat_fat,Male,OTH,35-44,16,2268050,g/day,FL,mrh-eq,-26754.302632533338,2350.812459994736,-26595.43154076454,-29051.266444566994,-24592.37924850315
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,CED,MJ,-3421702.922991317,395998.1043640146,-3269554.040958426,-3841127.969444526,-3131604.426266066
