"age","race","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,2,"medBMI","HSTK","leg_tot",0.887700378350618,0.0416152379048865,0.866319694659328,0.861381626075195,0.932192711763636,0.0116558470918898,0.000997788642807084,0.0118961765811275,0.0106266591696692,0.0124807549482584,1.18961765811275,1.06266591696692,1.24807549482584,0.0101070326945417,0.000473815918471639,0.00986360002923066,0.00980737698162934,0.0106136061729685
25,2,"medBMI","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","IHD","leg_tot",4.10374340301646,2.42137037872607,2.76448048994638,2.65369052613545,6.69216975600705,0.015007735170737,0.00720164777393034,0.0117235067704262,0.0101181414453471,0.022688923036391,1.17235067704262,1.01181414453471,2.2688923036391,0.0467237254324061,0.0275688398701044,0.0314753664375199,0.0302139523232839,0.0761946036871816
25,2,"medBMI","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","ISTK","leg_tot",0.529578420008292,0.15074783979119,0.581825563524258,0.370766197715965,0.643980570312048,0.0142027915706478,0.0030696165832714,0.0129827906218393,0.0119833391950149,0.0174592447527678,1.29827906218393,1.19833391950149,1.74592447527678,0.00602958671178291,0.00171635991440268,0.00662445362925956,0.0042214086799297,0.00733212786378099
25,2,"medBMI","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","OSTK","leg_tot",0.247207514051034,0.029377535535186,0.260114570126343,0.215912497432855,0.2675315330052,0.010586614897988,0.000599033768546298,0.0107323288657087,0.00996837483626707,0.0110809980871464,1.07323288657087,0.996837483626707,1.10809980871464,0.00281461457918105,0.000334481903331927,0.00296156961144747,0.00245830093569262,0.00304601644524301
25,2,"medBMI","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medBMI","Other_CVD","leg_tot",4.94235375417237,2.36075117130981,4.54144013344318,2.89441630987311,7.33106777609145,0.0114823695245459,0.00547200893894568,0.0103275404819284,0.00686232556163614,0.0170840181736806,1.03275404819284,0.686232556163614,1.70840181736806,0.0562718369842592,0.0268786516870017,0.0517071807430104,0.0329547682855079,0.0834688634880718
25,2,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
