"female","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"PC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PC","medBMI","leg_tot",49.2436724794518,5.4828491814555,50.356046426024,43.6432360099186,53.8985910943985,0.00175295858879945,0.00020179656463495,0.00180409678704097,0.00154419179169278,0.00191825791740082,0.180409678704097,0.154419179169278,0.191825791740082,0.0417789962423781,0.00465172323297252,0.0427227493094012,0.0370275103674378,0.0457282920103489
0,"PC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PVD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PVD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PVD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PVD","medBMI","leg_tot",16.041706479785,1.77476895249668,16.3401043983185,14.2468259082914,17.5829488205251,0.00452366612919956,0.00048885459433225,0.00460856742949467,0.00402845421799676,0.00494671193515153,0.460856742949467,0.402845421799676,0.494671193515153,0.0136100002496753,0.00150573792863211,0.0138631650704419,0.0120871993520933,0.0149176110496059
0,"PVD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"PVD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"RHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"RHD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"RHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"RHD","medBMI","leg_tot",6.7446471490466,0.836514008584664,6.75029331216269,5.94757279820381,7.53692226124071,0.00542451717206605,0.000682942480011765,0.00568183342339509,0.00470187283862798,0.00592844269187443,0.568183342339509,0.470187283862798,0.592844269187443,0.00572224965580636,0.000709709773086859,0.00572703993678529,0.00504600102055983,0.00639442655222081
