"age","female","race","disease_type3","riskfactor","V1","V2","V3"
35,0,4,"DIAB","leg_tot",0.0231761832123526,1.27570733767427,0
45,0,1,"DIAB","leg_tot",42.7915514036687,62.5211022049875,33.7284986942814
45,0,2,"DIAB","leg_tot",28.866494852267,21.7363412635188,9.3771552275476
45,0,3,"DIAB","leg_tot",2.98615847278168,0,0.427972205344988
45,0,4,"DIAB","leg_tot",4.09037893637261,3.69128046319855,3.02832176243545
55,0,1,"DIAB","leg_tot",59.6839452081971,57.3248719046492,69.1025698496885
55,0,2,"DIAB","leg_tot",22.3469704707004,7.78328636337259,19.9484014496036
55,0,3,"DIAB","leg_tot",5.44157995212128,3.25429165978894,5.26284226053711
55,0,4,"DIAB","leg_tot",1.52578699348041,0.955807418769477,2.37297745151628
65,0,1,"DIAB","leg_tot",154.950947342779,222.95237093449,98.5040551087652
65,0,2,"DIAB","leg_tot",22.6144992273249,22.4771495116774,14.2274348642747
65,0,3,"DIAB","leg_tot",2.87012855498235,0,4.94763733755442
65,0,4,"DIAB","leg_tot",1.14754502118939,0.469306383085162,0
75,0,1,"DIAB","leg_tot",100.321151025365,123.37199635235,114.603621476722
75,0,2,"DIAB","leg_tot",4.489032851621,6.33691831688827,5.59281605545846
75,0,3,"DIAB","leg_tot",0,0,0.036438934920748
75,0,4,"DIAB","leg_tot",3.02940386367567,4.6700610076516,2.1919578736276
25,1,1,"DIAB","leg_tot",2.86424387388663,5.18405763176738,3.36084955379574
25,1,2,"DIAB","leg_tot",1.23330122060398,2.42188577828745,2.81997384191577
25,1,3,"DIAB","leg_tot",0.638432704533715,0.941950051022706,0.6206270907227
25,1,4,"DIAB","leg_tot",0.115597244811246,0.130931171196779,0.329376732249284
35,1,1,"DIAB","leg_tot",8.29987560048897,14.9681404572,5.04778560868737
35,1,2,"DIAB","leg_tot",5.80178182544676,4.3249447670456,3.5383326876499
35,1,3,"DIAB","leg_tot",0.284398662464425,0.367292262836486,0.402017819251364
35,1,4,"DIAB","leg_tot",0.611090608929911,0.497917831017533,0.986057568717027
45,1,1,"DIAB","leg_tot",16.940282943889,33.598001543662,40.4129057147656
45,1,2,"DIAB","leg_tot",16.8342324479675,7.97799105790749,15.2860707675054
45,1,3,"DIAB","leg_tot",2.895724891849,1.3497052413592,6.18869003801323
45,1,4,"DIAB","leg_tot",1.33542862427327,1.98701589093712,1.6681352693924
55,1,1,"DIAB","leg_tot",40.3111533222262,34.549474865663,56.6225944437383
55,1,2,"DIAB","leg_tot",15.1233364808021,28.2756818953439,9.21774004314841
55,1,3,"DIAB","leg_tot",6.35215418739126,7.21230833594855,4.0122832339948
55,1,4,"DIAB","leg_tot",2.58756195789981,1.36852567567836,2.53684694284017
65,1,1,"DIAB","leg_tot",50.8429832791994,54.3434861565966,78.0361865724873
65,1,2,"DIAB","leg_tot",13.2459915580176,16.9986101271234,9.84794929166926
65,1,3,"DIAB","leg_tot",1.71499179239808,3.22792403547553,0.996407685418391
65,1,4,"DIAB","leg_tot",4.01547597419444,3.58702229099393,2.42874190851258
75,1,1,"DIAB","leg_tot",151.844807869376,86.3244044882916,123.194451234854
75,1,2,"DIAB","leg_tot",0,9.45149530361921,50.3745197488965
75,1,3,"DIAB","leg_tot",6.55054332713096,21.3480515304363,5.54261908822576
75,1,4,"DIAB","leg_tot",2.74166853641528,8.66830006178373,7.97170622097561
25,0,1,"All_HD","leg_tot",10.9561557246619,11.9072216694044,10.111276195711
25,0,2,"All_HD","leg_tot",13.4099088611918,5.17221341777869,4.7845037077379
25,0,3,"All_HD","leg_tot",0.773086343187652,1.92460654671536,0.975608722302514
25,0,4,"All_HD","leg_tot",0.827227019331888,0.862623400367878,1.12756613509701
35,0,1,"All_HD","leg_tot",44.2416457871353,57.8047851184914,41.6996735872905
35,0,2,"All_HD","leg_tot",29.3890382045061,33.5880152169482,17.0752710177293
35,0,3,"All_HD","leg_tot",3.44924380774648,0.107710076590652,1.16441902461584
35,0,4,"All_HD","leg_tot",0.136829212987813,2.90544844539265,0
45,0,1,"All_HD","leg_tot",208.386326360697,213.186465831589,166.563120041121
45,0,2,"All_HD","leg_tot",67.3964844505969,32.6936052266446,22.491682360188
45,0,3,"All_HD","leg_tot",7.99976000242434,0,0.869426392244356
45,0,4,"All_HD","leg_tot",10.8751838370258,17.0879468671423,13.6781166754553
55,0,1,"All_HD","leg_tot",399.935891465818,368.885978033174,403.930817417409
55,0,2,"All_HD","leg_tot",99.0019214486357,47.6967472247381,118.624254750591
